REGION,SCENARIO,year,urb_land_2015,ULC_2015,urban_pop_2015,urban_share,urban_pop,urban_pop_incrs,GDPC_2015,GDPC,GDPC_incrs,ULC_incrs,ULC,urban_land
ISR,SSP5,2090,1459,196.26533566753218,7.433814,94.18438289056472,28.66407508891447,21.230261088914467,29570.090046239962,135260.6295590458,105690.53951280584,396.5086280362424,592.7739637037746,16991.317406358456
ISR,SSP5,2100,1459,196.26533566753218,7.433814,94.42744679967863,32.60485310546104,25.17103910546104,29570.090046239962,163064.14897622287,133494.05892998292,500.8163114817239,697.0816471492561,22728.24470781432
ITA,SSP1,2020,9539,230.44503891861342,41.393817999999996,74.40159212752727,46.13345121459456,4.739633214594562,27449.60668633235,29043.366770957648,1593.7600846252972,5.9791503334802645,236.4241892520937,10907.063800811535
ITA,SSP1,2030,9539,230.44503891861342,41.393817999999996,79.18577489528296,49.6463134283466,8.252495428346606,27449.60668633235,33398.590021691976,5948.983335359626,22.31820588093517,252.7632447995486,12548.763274484289
ITA,SSP1,2040,9539,230.44503891861342,41.393817999999996,82.97295173128207,52.56253519224987,11.168717192249872,27449.60668633235,39326.382421190545,11876.775734858194,44.556911846894,275.00195076550744,14454.79971504935
ITA,SSP1,2050,9539,230.44503891861342,41.393817999999996,85.98565945007441,54.614651456309254,13.220833456309258,27449.60668633235,46053.3251464198,18603.718460087446,69.79371017486406,300.2387490934775,16397.434635418562
ITA,SSP1,2060,9539,230.44503891861342,41.393817999999996,88.39943305561455,55.58644749970099,14.192629499700992,27449.60668633235,53875.0496970468,26425.44301071445,99.13769199899633,329.58273091760975,18320.33316895979
ITA,SSP1,2070,9539,230.44503891861342,41.393817999999996,90.34837581919209,55.05739674045746,13.663578740457467,27449.60668633235,62903.428018182116,35453.821331849766,133.00855610856757,363.453595027181,20010.80877815706
ITA,SSP1,2080,9539,230.44503891861342,41.393817999999996,91.93392362204156,53.41085160669749,12.017033606697495,27449.60668633235,72550.51035337451,45100.90366704216,169.20055019727536,399.6455891158888,21345.411255539937
ITA,SSP1,2090,9539,230.44503891861342,41.393817999999996,93.23286962886918,50.91447010432545,9.520652104325457,27449.60668633235,83412.63504852592,55963.02836219357,209.9508972036054,440.3959361222188,22422.525723761133
ITA,SSP1,2100,9539,230.44503891861342,41.393817999999996,94.30371574890071,47.93269264085126,6.538874640851262,27449.60668633235,95293.30290391123,67843.69621757888,254.5224107298689,484.96744964848233,23245.79570481821
ITA,SSP2,2020,9539,230.44503891861342,41.393817999999996,71.62203834326412,44.19223009856083,2.7984120985608314,27449.60668633235,29042.64043304917,1593.033746716821,5.976425404182826,236.42146432279625,10447.991751591702
ITA,SSP2,2030,9539,230.44503891861342,41.393817999999996,74.63854765468666,46.24156581398457,4.847747813984576,27449.60668633235,32689.46315007909,5239.856463746739,19.657845509392263,250.1028844280057,11565.148990545002
ITA,SSP2,2040,9539,230.44503891861342,41.393817999999996,77.40658990628911,48.00911519167863,6.615297191678636,27449.60668633235,36977.10489826191,9527.49821192956,35.74336229187494,266.18840121048834,12779.469616403103
ITA,SSP2,2050,9539,230.44503891861342,41.393817999999996,79.92942569726513,49.137413741650704,7.743595741650708,27449.60668633235,42449.622616956214,15000.015930623864,56.27405976532849,286.7190986839419,14088.634979666032
ITA,SSP2,2060,9539,230.44503891861342,41.393817999999996,82.21510566219379,49.46965122799863,8.075833227998636,27449.60668633235,49583.2377723488,22133.631086016452,83.03653038229932,313.4815693009127,15507.823899721836
ITA,SSP2,2070,9539,230.44503891861342,41.393817999999996,84.27515908683402,49.13663150557858,7.742813505578582,27449.60668633235,57939.66212160192,30490.05543526957,114.38649197095731,344.83153088957073,16943.859864825372
ITA,SSP2,2080,9539,230.44503891861342,41.393817999999996,86.12344606128434,48.54003543460047,7.146217434600473,27449.60668633235,66891.82235943295,39442.215673100596,147.9714163192042,378.4164552378176,18368.348146279568
ITA,SSP2,2090,9539,230.44503891861342,41.393817999999996,87.77520157858929,47.73039911440528,6.336581114405284,27449.60668633235,76970.04303210857,49520.43634577622,185.78086899481409,416.2259079134275,19866.62870646359
ITA,SSP2,2100,9539,230.44503891861342,41.393817999999996,89.24627342862189,46.30542896844047,4.9116109684404705,27449.60668633235,88408.57665992097,60958.969973588624,228.69367175291507,459.1387106715285,21260.6149536618
ITA,SSP3,2020,9539,230.44503891861342,41.393817999999996,69.76431315594472,42.246477474713885,0.8526594747138887,27449.60668633235,29012.385230200147,1562.7785438677965,5.862919985174425,236.30795890378783,9983.178862924487
ITA,SSP3,2030,9539,230.44503891861342,41.393817999999996,70.6534430196958,41.35769940600913,-0.0361185939908637,27449.60668633235,32176.865518655188,4727.258832322837,17.734784235342357,248.17982315395577,10264.146524637808
